Transcript Length	0_min_RNA_hydrolysis_rep_1-dedup.bed	0_min_RNA_hydrolysis_rep_2-dedup.bed	10_min_30C_RNA_hydrolysis_rep_1-dedup.bed	10_min_30C_RNA_hydrolysis_rep_2-dedup.bed	10_min_37C_RNA_hydrolysis_rep_1-dedup.bed	10_min_37C_RNA_hydrolysis_rep_2-dedup.bed	1_min_30C_RNA_hydrolysis_rep_1-dedup.bed	1_min_30C_RNA_hydrolysis_rep_2-dedup.bed	20_min_ice_RNA_hydrolysis_rep_1-dedup.bed	20_min_ice_RNA_hydrolysis_rep_2-dedup.bed	3_min_30C_RNA_hydrolysis_rep_1-dedup.bed	3_min_30C_RNA_hydrolysis_rep_2-dedup.bed
96	65546	123565	137120	121467	12414	19564	124435	123834	161616	136669	98238	96598
97	69794	114894	132396	118223	11968	18704	122802	117718	154935	129288	96772	93707
98	87905	144673	156858	131641	11605	18071	130384	134154	198170	177381	109753	98823
99	63781	115725	137318	120690	10919	16617	121937	129586	198363	165248	99499	94408
100	61376	107790	124793	116252	10788	15765	120388	126753	185686	149190	94762	91864
101	60416	91666	115577	109813	9741	14816	115160	118181	155202	115103	89235	88108
102	53348	102148	95420	100609	9080	14082	109087	104867	136549	102470	81401	82743
103	60893	128856	106577	108241	8814	13352	112188	114566	157219	118254	85896	85132
104	66547	96439	111329	109151	8439	12632	110629	115958	165113	113291	85022	82631
105	57005	81156	103334	103787	7771	11747	107533	111059	155786	116598	81005	80603
106	53110	69636	92844	97056	7531	11122	102603	104263	136213	93746	76861	76894
107	51691	88103	94199	96242	7345	10770	101741	103239	138777	97874	76130	75513
108	56083	92212	109136	103230	7245	10452	102448	112484	156267	103484	80058	76678
109	59842	108846	138641	103408	6952	9782	99441	114558	169717	127804	79502	73898
110	69000	107400	147405	106032	6583	9354	103640	116601	168098	117986	81111	72706
111	63895	83992	84101	87627	5986	8567	97856	91946	111461	79132	69726	66887
112	59684	103673	92750	90425	5872	8234	92350	94996	125420	91988	69312	64159
113	70026	134534	113947	103720	5999	7967	95170	113432	149569	94656	77438	69521
114	78116	147962	125308	110009	6083	7771	97856	123661	164222	109567	81983	72315
115	83773	151464	138351	114102	6065	7681	95044	126983	166623	102520	81071	70028
116	86012	139574	153740	126312	6707	7555	96601	144445	204137	133911	90899	76138
117	55309	98750	112876	98680	5496	6777	87284	115298	174421	111381	71530	64754
118	75502	130365	151563	127591	6660	7185	93945	145561	199426	117168	86190	72578
119	147830	252053	294098	237261	20359	11362	120072	260566	327005	166840	149050	114170
120	175567	286836	355867	282623	22404	11915	136083	308881	382135	206732	180161	136019
121	47794	82446	93482	85198	4669	5710	80403	102423	147763	100246	64733	57669
122	42991	76635	80560	76722	4156	5259	75055	89572	126466	80078	58906	53591
123	47258	75884	86847	76974	3944	5168	76267	86114	122766	85574	58849	52683
124	47788	76179	84691	74487	3673	4962	74912	83049	122438	94584	58559	51522
125	55021	84794	89586	78614	3472	4840	78078	86650	126630	88115	61375	51072
126	53037	102122	102294	83836	3473	4913	76505	91087	145645	114696	65910	51266
127	40703	68460	77916	69533	3185	4252	68304	77458	117263	76896	52459	46646
128	38629	75322	80598	70102	3071	4155	65588	77435	121467	84963	53061	45280
129	46332	79907	88066	73376	2976	4035	66965	78909	123727	89606	53653	45200
130	43616	75969	89856	72963	3098	3958	66398	78782	120018	85695	53880	43963
131	53366	88011	95428	77378	2961	4107	69941	82819	131533	103717	59014	45583
132	69771	106147	115383	84442	3090	3811	77834	90933	142510	106459	61656	49446
133	47985	102989	114707	80106	2935	3777	66522	88614	142287	105192	57670	44558
134	52754	104023	113102	80140	2850	3904	68826	85450	134580	104077	59565	43946
135	73599	150369	149950	99728	3071	4462	79635	101258	165288	145403	75585	49563
136	68476	176276	200509	99520	2811	3680	68610	101938	180044	152285	64775	44232
137	48999	125577	151107	83360	2583	3190	62572	89956	156000	114116	54537	41169
138	41254	71833	84503	66390	2491	2969	59358	76074	116231	80165	47060	39730
139	34533	55518	69313	57609	2260	2806	52490	64162	95484	66193	39895	35156
140	36749	59590	63053	55266	2095	2720	53357	61219	93164	64900	38873	34048
141	36446	88973	67754	59304	2411	2768	53900	66525	106864	74991	41384	35410
142	45011	93171	80063	65990	2420	2808	56745	76264	125424	90176	47301	37893
143	70731	107311	120697	93665	3842	3345	62520	105064	149003	109706	62351	47538
144	47812	104450	94997	68141	2196	2480	53574	73109	111376	82194	44990	35779
145	70296	180774	153479	94360	2572	2612	53849	91786	135210	92920	54508	36602
146	70560	203683	147544	89213	2448	2569	54808	86218	122747	80606	50960	36468
147	54337	256047	127078	77218	2094	2447	51684	79947	130569	86847	45087	35440
148	48361	204058	112712	69437	1979	2298	50093	78006	130204	91635	43146	34257
149	45306	112132	111465	68327	2049	2254	48635	79210	122327	89610	42978	34023
150	53981	130636	129020	78350	2185	2376	49465	86565	126146	76269	46590	35819
151	73044	172319	185472	97840	2381	2390	50078	99283	142036	85435	52622	36290
152	92445	213925	224551	115338	2668	2532	52872	113121	150343	93101	57984	38555
153	136534	309660	315914	169744	3717	2841	61204	164417	209450	109737	80601	47789
154	278126	464209	498652	310841	8804	4889	99003	292395	341367	194323	156105	84808
155	388005	587401	632173	430463	22734	9779	157585	412211	450858	282021	251245	154815
156	299064	508016	533507	342347	12876	5557	112596	329133	360427	207307	182813	107396
157	140803	297162	319242	170769	3853	2633	56139	166747	191638	100373	77141	44399
158	140614	239918	285266	160448	4227	2795	59164	156860	190090	108553	81250	45497
159	96912	178395	216701	119721	2708	2210	51535	117837	150289	86304	57134	36312
160	117057	225921	226811	140861	3705	2583	61101	140568	169480	107630	70461	48703
161	118183	240104	242909	145590	3801	2619	59538	148219	172900	106349	72189	46825
162	50862	135934	110547	68920	2017	1920	41737	74924	98858	69667	39789	28576
163	118277	168710	220041	144796	4730	2716	63832	158609	179360	119866	80078	54077
164	80653	108804	73942	56494	1993	1834	48991	60823	83801	66309	40429	29532
165	37590	88048	63940	46858	1479	1694	37901	52859	78837	60978	31649	23962
166	36809	88666	55146	43825	1335	1605	37328	49834	74898	61567	30103	22976
167	49771	102051	54233	43595	1475	1610	39924	48012	72614	59122	31650	23273
168	36362	93081	49054	37987	1200	1559	34270	42047	65893	53210	26451	19997
169	31945	94960	55279	41423	1292	1538	34051	46201	75570	62260	28702	21165
170	29248	84844	52454	40191	1367	1493	33944	46582	73429	59376	28259	21114
171	29526	83201	42769	34639	1187	1515	31706	41172	64021	50373	24173	19379
172	28278	66009	37907	31885	1108	1378	30998	38062	56931	43720	22975	18183
173	36983	64483	34989	31837	1055	1314	31895	37962	53200	39678	22664	18753
174	30754	56193	40335	34056	1261	1372	30595	40805	57316	42406	22775	18731
175	22436	40660	40344	33594	1135	1385	28848	41225	61654	47305	22969	18383
176	22903	39410	42126	34952	1121	1239	30190	43998	64344	48497	23854	19441
177	39937	45547	42540	37047	1206	1394	33924	48958	72540	53450	26745	21192
178	67074	72164	47701	42440	1377	1357	41485	53725	75232	56663	32555	24402
179	38832	68596	51158	40217	1229	1364	33634	52369	78716	57503	27862	21121
180	28721	60679	57448	42193	1193	1454	32807	55582	86157	64809	29162	21429
181	32055	83456	67797	47548	1255	1444	34966	62791	95613	79179	32467	22607
182	34509	98030	73747	49705	1278	1526	35922	64309	101405	88195	34569	22410
183	31527	78596	60640	46251	1316	1316	33571	63040	93559	69604	30273	22116
184	34131	67587	66080	49758	1372	1414	33707	66803	93969	65962	32015	22864
185	39790	85723	81436	57424	1621	1568	36326	78107	109904	82260	36879	24902
186	79632	129124	162409	109944	3500	1939	46439	151994	159496	90969	58354	40025
187	101759	156485	203318	134329	4408	2236	51209	185316	181728	98722	69455	49083
188	34067	80884	62229	46536	1343	1279	31003	64109	87808	64134	28625	21344
189	36812	71719	49465	38656	1056	1157	31265	50954	73852	55392	26262	18992
190	52529	74410	46031	36911	1136	1138	33229	48681	72215	53218	27234	19383
191	26838	66556	48259	36873	1054	1219	27827	48485	76131	55811	23684	17784
192	26032	63478	48415	38129	1165	1344	28627	51552	81575	61212	25203	19044
193	24399	49492	46909	36523	1075	1091	26986	49135	74925	54460	23804	18060
194	24529	57258	50615	37775	1128	1178	27535	50917	78023	56571	24992	18032
195	26985	57540	49408	38107	1119	1148	28398	52709	83567	61982	25529	18903
196	34486	57586	48835	39306	1062	1211	30498	54143	86820	63430	27612	19295
197	29075	58351	46295	38884	1141	1227	29132	55122	88584	65706	27007	18953
198	28005	52804	45842	36720	1044	1151	27219	51139	86888	63685	25252	17219
199	25139	55627	50804	41353	1068	1165	28969	59727	102081	79236	28096	19293
200	26250	57384	45497	37273	1084	1165	27510	52073	84703	65123	25215	17471
201	31710	59018	44249	36505	1165	1169	27692	49316	77318	58627	25085	17330
202	87645	84515	47187	41443	1356	1282	38816	57405	82284	63450	31932	22174
203	36605	78007	50263	40382	1041	1161	29614	52836	83359	65399	27103	17887
204	27000	61028	46442	37054	1081	1095	27176	51869	79151	61074	24585	17317
205	33188	57913	46776	36335	974	1048	26611	48416	79445	63521	25070	16599
206	25552	49007	44104	36336	988	1031	25905	48845	75573	57853	23535	16796
207	21485	43254	42503	33479	929	1024	24309	46400	70903	55521	22481	15689
208	28273	45972	39905	32724	942	975	24489	45666	68676	53855	22794	15611
209	18321	45452	38399	31719	896	904	22835	45464	65178	50604	20480	15185
210	21256	56487	43865	32607	823	873	20671	43601	60867	45445	20286	13990
211	29232	55313	47350	33586	906	875	20914	45823	62959	47866	20986	14473
212	28197	64800	54452	38823	1036	926	22890	51276	70704	52337	23011	15652
213	30112	73821	58430	39914	1045	981	23736	53303	75525	56825	23909	15855
214	31245	74414	59359	38550	1021	885	21355	51168	70030	53904	22527	14989
215	61498	113014	106215	60652	1854	1297	27423	76499	98405	81378	36573	21692
216	64536	128388	107927	65691	1829	1275	27676	82405	99232	74289	39155	23218
217	20379	44970	41034	29803	719	747	19228	40597	54670	42993	18367	12927
218	22746	43329	43840	33277	865	733	20225	46463	60987	49080	19711	14341
219	23986	44347	54634	36167	820	783	18262	45760	59486	51642	19378	12757
220	21406	24519	29675	22518	661	658	16294	32023	42338	32901	15463	11904
221	17982	22142	32318	23720	671	728	16989	34769	46479	37692	16080	11850
222	19411	23573	47340	28659	710	752	18290	40662	57471	56213	19891	12386
223	24083	25274	31584	24812	750	657	16759	37458	43781	34939	17114	14146
224	14530	21568	30853	23428	634	641	15948	34553	43113	33432	15459	11346
225	14007	22419	27920	23432	623	685	16542	34804	45026	35596	15796	11571
226	13773	25314	29983	22768	637	612	15286	34008	43885	35582	15150	10779
227	16541	29360	40844	25590	618	656	16218	37566	51937	45757	17198	10645
228	13229	24633	25719	20973	636	606	14832	31870	40654	30599	14174	10260
229	13027	22111	24758	20151	654	550	14669	31954	40865	31692	13793	10373
230	13939	25266	26056	20680	676	631	15613	36058	46555	39048	14688	11167
231	12484	23760	24140	19678	644	623	14557	33989	43018	34736	13961	10488
232	13643	26566	26389	20021	601	624	14837	35158	44410	37325	14479	10732
233	14734	29840	27589	19952	607	596	14763	35159	43536	35017	14233	10335
234	13564	34469	26605	19578	604	573	14301	35117	45368	34886	14062	10448
235	14361	31401	27529	18925	565	578	13557	31554	41568	31925	13038	9315
236	15330	33862	29267	19082	550	584	13481	29588	41148	30787	12667	8573
237	17194	39431	31039	20164	546	549	13247	28831	41124	30502	13086	8734
238	19927	31622	33629	20258	590	647	14432	32022	42713	31617	14668	9381
239	18922	31018	31939	20082	591	583	13828	31488	42445	32141	14589	9265
240	24770	45210	40244	23904	569	653	15769	32670	49614	37401	16670	9319
241	29148	47133	45663	26549	638	730	16474	36242	55855	41802	18304	9486
242	20626	38329	37096	23191	534	563	14422	31762	47069	35997	14887	8736
243	21224	45064	37299	23699	529	585	14378	31380	47399	35303	15193	8656
244	24813	41273	40897	25535	597	608	15321	32010	51105	37324	16749	8609
245	26068	39655	41075	25401	607	648	15376	31836	50923	37687	16702	8380
246	22702	34243	36976	23018	527	556	14237	29148	47870	36402	14587	7836
247	25637	30479	40545	24491	526	608	15140	30588	51389	39194	16232	7821
248	19184	21526	31546	20028	473	519	13130	26422	42736	32231	13158	6904
249	16475	21306	28857	18771	473	461	12493	25580	41173	30928	12072	6654
250	17612	19825	29486	19640	491	469	12265	26559	40807	30645	12033	6832
251	10883	15479	19450	15197	427	403	10385	22598	31330	22444	8552	6286
252	14440	16555	23722	17474	560	403	10373	24598	32075	23761	9222	6596
253	17036	19529	26364	18859	545	441	11035	26094	32921	24678	9912	6758
254	14154	17916	23044	16613	455	400	10255	24268	32593	23899	9035	6337
255	8927	14554	17132	13717	392	396	9576	21021	29470	20904	7705	5640
